0,NaN,1.255e+05,1.6403e+05,85286,1.7467e+05,1.0489e+05,52749,2.134e+05,2.8322e+05,57130,1.3861e+05,38594,6255,1.7993e+05,2.0665e+05,1.1015e+05,1.9328e+05,92782,1.9318e+05,57794,1.2307e+05,1.2214e+05,1.7246e+05,2.3024e+05,3.2038e+05,3.2914e+05,3.0016e+05,2.8702e+05,2.7067e+05,2.6743e+05,3.1777e+05,2.9854e+05,2.6805e+05,3.1906e+05,2.6327e+05,2.8963e+05,2.8377e+05,2.6181e+05,2.6864e+05,1.8892e+05,2.9294e+05,2.4591e+05,3.5164e+05,3.4184e+05,2.8925e+05,3.102e+05,2.5606e+05,2.8689e+05,2.5196e+05,2.4548e+05,3.0155e+05,3.0327e+05,2.9491e+05,3.2027e+05,1.8898e+05,2.2545e+05,1.4914e+05,2.3299e+05,98912,2.1246e+05,1.8849e+05,2.4317e+05,1.6492e+05,2.558e+05,3.3256e+05,2.5636e+05,2.6854e+05,3.0941e+05,3.0846e+05,2.7862e+05,2.4567e+05,2.5948e+05,1.8755e+05,2.4145e+05,1.9468e+05,1.7468e+05,1.646e+05,1.6203e+05,3.5022e+05,1.5607e+05,95663,1.6324e+05,2.7071e+05,2.2576e+05,NaN,2.0077e+05,1.7457e+05,2.8476e+05,2.7286e+05,2.9996e+05,3.5202e+05,3.7914e+05,3.6658e+05,3.3931e+05,3.6746e+05,3.057e+05,3.7123e+05,3.6132e+05,3.5929e+05,3.5362e+05,3.4469e+05,3.3594e+05,3.2417e+05,3.2275e+05,3.4574e+05,3.5996e+05,3.4738e+05,3.5337e+05,3.4723e+05,3.3463e+05,3.3934e+05,3.517e+05,3.3004e+05,3.3188e+05,3.4793e+05,3.1809e+05,3.1244e+05,2.3611e+05,2.2792e+05,1.5861e+05,1.6076e+05,2.2444e+05,2.0428e+05,2.5332e+05,2.3347e+05,2.5934e+05,2.9445e+05,3.0679e+05,3.6327e+05,3.5254e+05,3.6143e+05,3.3802e+05,3.0567e+05,3.3375e+05,2.6801e+05,2.9504e+05,3.5686e+05,2.6592e+05,2.868e+05,2.8302e+05,3.4386e+05,2.8449e+05,2.7195e+05,2.8538e+05,3.0635e+05,2.9916e+05,2.997e+05,3.5335e+05,3.7168e+05,3.372e+05,3.2614e+05,3.4851e+05,3.5891e+05,3.5612e+05,3.6388e+05,3.4714e+05,3.1134e+05,3.6264e+05,3.6522e+05,2.6348e+05,3.2852e+05,3.2352e+05,3.4817e+05,3.2233e+05,3.5575e+05,3.6336e+05,2.3623e+05,2.4956e+05,3.1737e+05,3.3972e+05,2.6873e+05,2.3581e+05,2.4093e+05,2.9109e+05,3.6023e+05,2.4401e+05,3.0394e+05,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1.255e+05,NaN,0,38525,2.1079e+05,49165,20608,72751,87900,1.5772e+05,68370,13112,1.6409e+05,1.3176e+05,54431,81148,15346,67775,32718,67678,67706,2431,3359,46960,1.0474e+05,1.9488e+05,2.0364e+05,1.7466e+05,1.6152e+05,1.4517e+05,1.4193e+05,1.9227e+05,1.7304e+05,1.4255e+05,1.9356e+05,1.3777e+05,1.6413e+05,1.5827e+05,1.3631e+05,1.4314e+05,63418,1.6744e+05,1.2041e+05,2.2614e+05,2.1634e+05,1.6375e+05,1.847e+05,1.3056e+05,1.6139e+05,1.2646e+05,1.1998e+05,1.7605e+05,1.7777e+05,1.6941e+05,1.9477e+05,63476,99949,23641,1.0749e+05,26588,86958,62988,1.1767e+05,39416,1.303e+05,2.0706e+05,1.3086e+05,1.4304e+05,1.8391e+05,1.8296e+05,1.5312e+05,1.2017e+05,1.3398e+05,62054,1.1595e+05,69183,49178,39099,36534,2.2472e+05,30568,29837,37735,1.4521e+05,1.0026e+05,NaN,75268,49071,1.5926e+05,1.4736e+05,1.7446e+05,2.2652e+05,2.5364e+05,2.4108e+05,2.1381e+05,2.4196e+05,1.802e+05,2.4573e+05,2.3582e+05,2.3379e+05,2.2812e+05,2.1919e+05,2.1044e+05,1.9867e+05,1.9725e+05,2.2024e+05,2.3446e+05,2.2188e+05,2.2787e+05,2.2173e+05,2.0913e+05,2.1384e+05,2.262e+05,2.0454e+05,2.0638e+05,2.2243e+05,1.9259e+05,1.8694e+05,1.1061e+05,1.0242e+05,33113,35258,98942,78783,1.2782e+05,1.0797e+05,1.3384e+05,1.6895e+05,1.8129e+05,2.3777e+05,2.2704e+05,2.3593e+05,2.1252e+05,1.8017e+05,2.0825e+05,1.4251e+05,1.6954e+05,2.3136e+05,1.4042e+05,1.613e+05,1.5752e+05,2.1836e+05,1.5899e+05,1.4645e+05,1.5988e+05,1.8085e+05,1.7366e+05,1.742e+05,2.2785e+05,2.4618e+05,2.117e+05,2.0064e+05,2.2301e+05,2.3341e+05,2.3062e+05,2.3838e+05,2.2164e+05,1.8584e+05,2.3714e+05,2.3972e+05,1.3798e+05,2.0302e+05,1.9802e+05,2.2267e+05,1.9683e+05,2.3025e+05,2.3786e+05,1.1073e+05,1.2406e+05,1.9187e+05,2.1422e+05,1.4323e+05,1.1031e+05,1.1543e+05,1.6559e+05,2.3473e+05,1.1851e+05,1.7844e+05,0
1.6403e+05,NaN,38525,0,2.4931e+05,10640,59133,1.1128e+05,49375,1.192e+05,1.069e+05,25413,2.0262e+05,1.7028e+05,15906,42623,53871,29250,71243,29153,1.0623e+05,40956,41884,8435,66216,1.5635e+05,1.6511e+05,1.3614e+05,1.23e+05,1.0664e+05,1.0341e+05,1.5374e+05,1.3451e+05,1.0403e+05,1.5503e+05,99246,1.2561e+05,1.1975e+05,97784,1.0461e+05,24893,1.2892e+05,81889,1.8761e+05,1.7781e+05,1.2522e+05,1.4617e+05,92036,1.2286e+05,87932,81456,1.3752e+05,1.3925e+05,1.3088e+05,1.5625e+05,24951,61424,14884,68960,65113,48433,24463,79149,891,91773,1.6853e+05,92330,1.0451e+05,1.4539e+05,1.4444e+05,1.146e+05,81649,95456,23529,77422,30658,10653,574,1991,1.8619e+05,7957,68362,790,1.0669e+05,61734,NaN,36743,10546,1.2073e+05,1.0883e+05,1.3593e+05,1.88e+05,2.1512e+05,2.0256e+05,1.7528e+05,2.0343e+05,1.4168e+05,2.072e+05,1.973e+05,1.9526e+05,1.8959e+05,1.8067e+05,1.7191e+05,1.6014e+05,1.5872e+05,1.8172e+05,1.9593e+05,1.8336e+05,1.8935e+05,1.8321e+05,1.706e+05,1.7532e+05,1.8767e+05,1.6602e+05,1.6786e+05,1.8391e+05,1.5406e+05,1.4841e+05,72084,63890,5412,3267,60417,40258,89297,69441,95311,1.3042e+05,1.4276e+05,1.9924e+05,1.8851e+05,1.974e+05,1.7399e+05,1.4164e+05,1.6972e+05,1.0399e+05,1.3101e+05,1.9284e+05,1.0189e+05,1.2278e+05,1.19e+05,1.7983e+05,1.2046e+05,1.0792e+05,1.2136e+05,1.4232e+05,1.3513e+05,1.3568e+05,1.8933e+05,2.0765e+05,1.7317e+05,1.6211e+05,1.8449e+05,1.9489e+05,1.921e+05,1.9986e+05,1.8311e+05,1.4731e+05,1.9862e+05,2.0119e+05,99452,1.645e+05,1.595e+05,1.8415e+05,1.5831e+05,1.9173e+05,1.9934e+05,72205,85530,1.5334e+05,1.757e+05,1.047e+05,71783,76908,1.2706e+05,1.962e+05,79987,1.3991e+05,0
85286,NaN,2.1079e+05,2.4931e+05,0,2.5995e+05,1.9018e+05,1.3804e+05,2.9869e+05,3.6851e+05,1.4242e+05,2.239e+05,46692,79031,2.6522e+05,2.9193e+05,1.9544e+05,2.7856e+05,1.7807e+05,2.7846e+05,1.4308e+05,2.0836e+05,2.0743e+05,2.5775e+05,3.1553e+05,4.0566e+05,4.1442e+05,3.8545e+05,3.7231e+05,3.5596e+05,3.5272e+05,4.0305e+05,3.8382e+05,3.5334e+05,4.0435e+05,3.4856e+05,3.7492e+05,3.6906e+05,3.471e+05,3.5392e+05,2.742e+05,3.7823e+05,3.312e+05,4.3692e+05,4.2713e+05,3.7453e+05,3.9548e+05,3.4135e+05,3.7217e+05,3.3724e+05,3.3077e+05,3.8683e+05,3.8856e+05,3.8019e+05,4.0556e+05,2.7426e+05,3.1074e+05,2.3443e+05,3.1827e+05,1.842e+05,2.9774e+05,2.7377e+05,3.2846e+05,2.502e+05,3.4108e+05,4.1784e+05,3.4164e+05,3.5382e+05,3.947e+05,3.9375e+05,3.6391e+05,3.3096e+05,3.4477e+05,2.7284e+05,3.2673e+05,2.7997e+05,2.5996e+05,2.4989e+05,2.4732e+05,4.355e+05,2.4135e+05,1.8095e+05,2.4852e+05,3.56e+05,3.1105e+05,NaN,2.8605e+05,2.5986e+05,3.7004e+05,3.5814e+05,3.8524e+05,4.3731e+05,4.6443e+05,4.5187e+05,4.2459e+05,4.5275e+05,3.9099e+05,4.5651e+05,4.4661e+05,4.4457e+05,4.389e+05,4.2998e+05,4.2122e+05,4.0946e+05,4.0803e+05,4.3103e+05,4.4524e+05,4.3267e+05,4.3866e+05,4.3252e+05,4.1991e+05,4.2463e+05,4.3698e+05,4.1533e+05,4.1717e+05,4.3322e+05,4.0337e+05,3.9772e+05,3.214e+05,3.132e+05,2.439e+05,2.4604e+05,3.0973e+05,2.8957e+05,3.3861e+05,3.1875e+05,3.4462e+05,3.7973e+05,3.9207e+05,4.4856e+05,4.3782e+05,4.4671e+05,4.233e+05,3.9096e+05,4.1904e+05,3.533e+05,3.8032e+05,4.4215e+05,3.512e+05,3.7209e+05,3.6831e+05,4.2914e+05,3.6978e+05,3.5723e+05,3.7067e+05,3.9163e+05,3.8444e+05,3.8499e+05,4.3864e+05,4.5696e+05,4.2248e+05,4.1143e+05,4.338e+05,4.442e+05,4.4141e+05,4.4917e+05,4.3243e+05,3.9662e+05,4.4793e+05,4.5051e+05,3.4876e+05,4.1381e+05,4.0881e+05,4.3346e+05,4.0762e+05,4.4104e+05,4.4865e+05,3.2152e+05,3.3484e+05,4.0265e+05,4.2501e+05,3.5401e+05,3.2109e+05,3.2622e+05,3.7637e+05,4.4551e+05,3.293e+05,3.8922e+05,0
1.7467e+05,NaN,49165,10640,2.5995e+05,0,69773,1.2192e+05,38735,1.0856e+05,1.1754e+05,36053,2.1326e+05,1.8092e+05,5266,31983,64511,18610,81883,18513,1.1687e+05,51596,52524,2205,55576,1.4571e+05,1.5447e+05,1.255e+05,1.1236e+05,96004,92769,1.431e+05,1.2387e+05,93385,1.4439e+05,88606,1.1497e+05,1.0911e+05,87144,93973,14253,1.1828e+05,71249,1.7697e+05,1.6717e+05,1.1458e+05,1.3553e+05,81396,1.1222e+05,77292,70816,1.2688e+05,1.2861e+05,1.2024e+05,1.4561e+05,14311,50784,25524,58320,75753,37793,13823,68509,9749,81133,1.5789e+05,81690,93872,1.3475e+05,1.338e+05,1.0396e+05,71009,84816,12889,66782,20018,13,10066,12631,1.7555e+05,18597,79002,11430,96049,51094,NaN,26103,94,1.1009e+05,98192,1.2529e+05,1.7736e+05,2.0448e+05,1.9192e+05,1.6464e+05,1.9279e+05,1.3104e+05,1.9656e+05,1.8666e+05,1.8462e+05,1.7895e+05,1.7003e+05,1.6127e+05,1.495e+05,1.4808e+05,1.7108e+05,1.8529e+05,1.7272e+05,1.7871e+05,1.7257e+05,1.5996e+05,1.6468e+05,1.7703e+05,1.5538e+05,1.5722e+05,1.7327e+05,1.4342e+05,1.3777e+05,61444,53250,16052,13907,49777,29618,78657,58801,84671,1.1978e+05,1.3212e+05,1.886e+05,1.7787e+05,1.8676e+05,1.6335e+05,1.31e+05,1.5908e+05,93347,1.2037e+05,1.822e+05,91250,1.1214e+05,1.0836e+05,1.6919e+05,1.0982e+05,97282,1.1072e+05,1.3168e+05,1.2449e+05,1.2504e+05,1.7869e+05,1.9701e+05,1.6253e+05,1.5147e+05,1.7385e+05,1.8425e+05,1.8146e+05,1.8922e+05,1.7247e+05,1.3667e+05,1.8798e+05,1.9055e+05,88812,1.5386e+05,1.4886e+05,1.7351e+05,1.4767e+05,1.8109e+05,1.887e+05,61565,74890,1.427e+05,1.6506e+05,94063,61143,66268,1.1642e+05,1.8556e+05,69347,1.2927e+05,0
1.0489e+05,NaN,20608,59133,1.9018e+05,69773,0,52143,1.0851e+05,1.7833e+05,47762,33720,1.4349e+05,1.1115e+05,75039,1.0176e+05,5262,88383,12110,88286,47098,18177,17249,67568,1.2535e+05,2.1549e+05,2.2425e+05,1.9527e+05,1.8213e+05,1.6578e+05,1.6254e+05,2.1288e+05,1.9364e+05,1.6316e+05,2.1417e+05,1.5838e+05,1.8474e+05,1.7888e+05,1.5692e+05,1.6375e+05,84026,1.8805e+05,1.4102e+05,2.4675e+05,2.3695e+05,1.8436e+05,2.0531e+05,1.5117e+05,1.82e+05,1.4707e+05,1.4059e+05,1.9665e+05,1.9838e+05,1.9002e+05,2.1538e+05,84084,1.2056e+05,44249,1.2809e+05,5980,1.0757e+05,83596,1.3828e+05,60024,1.5091e+05,2.2766e+05,1.5146e+05,1.6365e+05,2.0452e+05,2.0357e+05,1.7373e+05,1.4078e+05,1.5459e+05,82662,1.3656e+05,89791,69786,59707,57142,2.4533e+05,51176,9229,58343,1.6582e+05,1.2087e+05,NaN,95876,69679,1.7987e+05,1.6797e+05,1.9506e+05,2.4713e+05,2.7425e+05,2.6169e+05,2.3442e+05,2.6257e+05,2.0081e+05,2.6633e+05,2.5643e+05,2.544e+05,2.4873e+05,2.398e+05,2.3104e+05,2.1928e+05,2.1786e+05,2.4085e+05,2.5507e+05,2.4249e+05,2.4848e+05,2.4234e+05,2.2974e+05,2.3445e+05,2.4681e+05,2.2515e+05,2.2699e+05,2.4304e+05,2.132e+05,2.0755e+05,1.3122e+05,1.2302e+05,53721,55866,1.1955e+05,99391,1.4843e+05,1.2857e+05,1.5444e+05,1.8955e+05,2.019e+05,2.5838e+05,2.4764e+05,2.5653e+05,2.3313e+05,2.0078e+05,2.2886e+05,1.6312e+05,1.9014e+05,2.5197e+05,1.6102e+05,1.8191e+05,1.7813e+05,2.3897e+05,1.796e+05,1.6706e+05,1.8049e+05,2.0145e+05,1.9426e+05,1.9481e+05,2.4846e+05,2.6678e+05,2.323e+05,2.2125e+05,2.4362e+05,2.5402e+05,2.5123e+05,2.5899e+05,2.4225e+05,2.0644e+05,2.5775e+05,2.6033e+05,1.5859e+05,2.2363e+05,2.1863e+05,2.4328e+05,2.1744e+05,2.5086e+05,2.5847e+05,1.3134e+05,1.4466e+05,2.1247e+05,2.3483e+05,1.6384e+05,1.3092e+05,1.3604e+05,1.862e+05,2.5533e+05,1.3912e+05,1.9904e+05,0
52749,NaN,72751,1.1128e+05,1.3804e+05,1.2192e+05,52143,0,1.6065e+05,2.3047e+05,4381,85863,91343,59004,1.2718e+05,1.539e+05,57405,1.4053e+05,40033,1.4043e+05,5045,70320,69392,1.1971e+05,1.7749e+05,2.6763e+05,2.7639e+05,2.4741e+05,2.3428e+05,2.1792e+05,2.1469e+05,2.6502e+05,2.4579e+05,2.153e+05,2.6631e+05,2.1052e+05,2.3688e+05,2.3102e+05,2.0906e+05,2.1589e+05,1.3617e+05,2.4019e+05,1.9317e+05,2.9889e+05,2.8909e+05,2.365e+05,2.5745e+05,2.0331e+05,2.3414e+05,1.9921e+05,1.9273e+05,2.488e+05,2.5052e+05,2.4216e+05,2.6753e+05,1.3623e+05,1.727e+05,96392,1.8024e+05,46163,1.5971e+05,1.3574e+05,1.9043e+05,1.1217e+05,2.0305e+05,2.7981e+05,2.0361e+05,2.1579e+05,2.5666e+05,2.5572e+05,2.2587e+05,1.9293e+05,2.0673e+05,1.3481e+05,1.887e+05,1.4193e+05,1.2193e+05,1.1185e+05,1.0929e+05,2.9747e+05,1.0332e+05,42914,1.1049e+05,2.1797e+05,1.7301e+05,NaN,1.4802e+05,1.2182e+05,2.3201e+05,2.2011e+05,2.4721e+05,2.9927e+05,3.2639e+05,3.1383e+05,2.8656e+05,3.1471e+05,2.5295e+05,3.1848e+05,3.0858e+05,3.0654e+05,3.0087e+05,2.9194e+05,2.8319e+05,2.7142e+05,2.7e+05,2.9299e+05,3.0721e+05,2.9463e+05,3.0063e+05,2.9448e+05,2.8188e+05,2.8659e+05,2.9895e+05,2.773e+05,2.7913e+05,2.9518e+05,2.6534e+05,2.5969e+05,1.8336e+05,1.7517e+05,1.0586e+05,1.0801e+05,1.7169e+05,1.5153e+05,2.0057e+05,1.8072e+05,2.0659e+05,2.417e+05,2.5404e+05,3.1052e+05,2.9979e+05,3.0868e+05,2.8527e+05,2.5292e+05,2.81e+05,2.1526e+05,2.4229e+05,3.0411e+05,2.1317e+05,2.3405e+05,2.3027e+05,2.9111e+05,2.3174e+05,2.192e+05,2.3264e+05,2.536e+05,2.4641e+05,2.4695e+05,3.006e+05,3.1893e+05,2.8445e+05,2.7339e+05,2.9576e+05,3.0616e+05,3.0337e+05,3.1113e+05,2.9439e+05,2.5859e+05,3.099e+05,3.1247e+05,2.1073e+05,2.7577e+05,2.7077e+05,2.9543e+05,2.6958e+05,3.03e+05,3.1061e+05,1.8348e+05,1.9681e+05,2.6462e+05,2.8697e+05,2.1598e+05,1.8306e+05,1.8818e+05,2.3834e+05,3.0748e+05,1.9126e+05,2.5119e+05,0
2.134e+05,NaN,87900,49375,2.9869e+05,38735,1.0851e+05,1.6065e+05,0,69823,1.5627e+05,74788,2.5199e+05,2.1966e+05,33469,6752,1.0325e+05,20125,1.2062e+05,20222,1.5561e+05,90331,91259,40940,16841,1.0698e+05,1.1574e+05,86763,73624,57269,54034,1.0437e+05,85136,54650,1.0566e+05,49871,76233,70372,48409,55238,24482,79540,32514,1.3824e+05,1.2844e+05,75847,96798,42661,73488,38557,32081,88146,89872,81507,1.0687e+05,24424,12049,64259,19585,1.1449e+05,942,24912,29774,48484,42398,1.1916e+05,42955,55137,96010,95064,65223,32274,46081,25846,28047,18717,38722,48801,51366,1.3682e+05,57332,1.1774e+05,50165,57314,12359,NaN,12632,38829,71358,59457,86555,1.3862e+05,1.6574e+05,1.5318e+05,1.2591e+05,1.5406e+05,92302,1.5783e+05,1.4792e+05,1.4589e+05,1.4022e+05,1.3129e+05,1.2254e+05,1.1077e+05,1.0935e+05,1.3234e+05,1.4656e+05,1.3398e+05,1.3997e+05,1.3383e+05,1.2123e+05,1.2594e+05,1.383e+05,1.1664e+05,1.1848e+05,1.3453e+05,1.0469e+05,99038,22709,14515,54787,52642,11042,9117,39922,20066,45936,81046,93387,1.4987e+05,1.3914e+05,1.4803e+05,1.2462e+05,92269,1.2035e+05,54612,81636,1.4346e+05,52515,73400,69622,1.3046e+05,71089,58547,71984,92946,85755,86301,1.3995e+05,1.5828e+05,1.238e+05,1.1274e+05,1.3511e+05,1.4551e+05,1.4272e+05,1.5048e+05,1.3374e+05,97936,1.4924e+05,1.5182e+05,50077,1.1512e+05,1.1012e+05,1.3477e+05,1.0893e+05,1.4235e+05,1.4996e+05,22830,36155,1.0397e+05,1.2632e+05,55328,22408,27533,77687,1.4683e+05,30612,90535,0
2.8322e+05,NaN,1.5772e+05,1.192e+05,3.6851e+05,1.0856e+05,1.7833e+05,2.3047e+05,69823,0,2.2609e+05,1.4461e+05,3.2182e+05,2.8948e+05,1.0329e+05,76575,1.7307e+05,89948,1.9044e+05,90045,2.2543e+05,1.6015e+05,1.6108e+05,1.1076e+05,52982,37155,45915,16940,3801,12554,15789,34544,15313,15173,35836,19952,6410,549,21414,14585,94305,9717,37309,68414,58616,6024,26975,27162,3665,31266,37742,18323,20049,11684,37051,94247,57774,1.3408e+05,50238,1.8431e+05,70765,94735,40049,1.1831e+05,27425,49332,26868,14686,26187,25241,4600,37549,23742,95669,41776,88540,1.0855e+05,1.1862e+05,1.2119e+05,66995,1.2716e+05,1.8756e+05,1.1999e+05,12509,57464,NaN,82455,1.0865e+05,1535,10366,16732,68797,95917,83357,56084,84236,22479,88002,78101,76064,70394,61470,52713,40946,39525,62518,76734,64158,70151,64009,51405,56119,68475,46821,48659,64710,34864,29215,47114,55308,1.2461e+05,1.2247e+05,58781,78940,29901,49757,23887,11223,23564,80046,69313,78203,54795,22446,50526,15211,11813,73637,17308,3577,201,60634,1266,11276,2161,23123,15932,16478,70127,88452,53972,42916,65289,75688,72897,80657,63916,28113,79421,81996,19746,45299,40297,64951,39108,72529,80139,46993,33668,34142,56499,14495,47415,42290,7864,77003,39211,20712,0
