TRACT,GEOID,xcoord,ycoord,Tract_2010Census_DP1_DP0090001,Tract_2010Census_DP1_DP0090002,Tract_2010Census_DP1_DP0090003,Tract_2010Census_DP1_DP0090004,Tract_2010Census_DP1_DP0090005,Tract_2010Census_DP1_DP0090006
009902,11001009902,-76.94456,38.87179,41,2843,24,11,0,21
009903,11001009903,-76.92120,38.88830,34,1814,26,7,0,17
009904,11001009904,-76.93114,38.88516,77,2081,22,11,0,87
009905,11001009905,-76.92505,38.88434,75,2733,32,3,6,30
009906,11001009906,-76.93592,38.88792,30,1269,18,6,0,11
009907,11001009907,-76.93882,38.88278,32,2810,26,13,3,11
010100,11001010100,-77.03185,38.90270,1736,418,26,421,4,103
010200,11001010200,-77.02370,38.88242,1209,996,45,146,2,55
010300,11001010300,-77.02718,38.97617,822,1983,73,94,12,344
010400,11001010400,-76.99952,38.84896,166,4190,52,31,5,23
007503,11001007503,-76.98698,38.86399,54,2353,22,10,4,20
007504,11001007504,-76.97941,38.86101,44,2415,23,10,0,8
001902,11001001902,-77.01561,38.96397,287,1605,31,34,0,99
002001,11001002001,-77.03593,38.95935,662,1241,36,77,6,440
002002,11001002002,-77.03108,38.95251,874,2403,45,84,64,552
002101,11001002101,-77.02413,38.95592,827,3429,81,125,15,1093
002102,11001002102,-77.01424,38.95579,478,3693,62,42,3,526
002201,11001002201,-77.02330,38.94914,486,2390,34,65,3,558
002202,11001002202,-77.01386,38.94885,370,2282,60,47,20,473
009302,11001009302,-76.99086,38.92512,250,872,30,25,4,62
002301,11001002301,-77.01658,38.94260,505,2181,35,49,20,264
002302,11001002302,-77.01088,38.93390,1054,910,29,73,7,30
002400,11001002400,-77.02241,38.94179,856,2347,47,78,5,394
002501,11001002501,-77.03174,38.94466,669,1482,37,44,36,409
002502,11001002502,-77.03014,38.93906,1723,2612,87,151,180,1712
002600,11001002600,-77.04253,38.94528,985,1092,29,90,2,80
002701,11001002701,-77.04167,38.93447,3030,1405,87,364,14,626
007601,11001007601,-76.98000,38.87152,174,4173,38,33,2,17
007603,11001007603,-76.95855,38.85912,288,3721,65,23,4,38
007604,11001007604,-76.96380,38.86609,171,3456,32,19,1,24
007605,11001007605,-76.97526,38.86605,79,3354,45,22,2,28
007703,11001007703,-76.94754,38.88620,76,4996,57,12,3,133
007707,11001007707,-76.93534,38.87795,62,3777,31,3,1,42
007708,11001007708,-76.96161,38.88554,33,2460,26,8,5,17
007709,11001007709,-76.96788,38.87738,57,1928,27,9,0,34
007803,11001007803,-76.94138,38.89599,62,3166,35,18,5,70
007804,11001007804,-76.93135,38.89543,60,3361,48,23,5,61
007806,11001007806,-76.93269,38.90561,40,2274,34,3,8,23
002702,11001002702,-77.04182,38.93020,3623,764,86,263,15,713
002801,11001002801,-77.03452,38.93496,1354,1428,63,196,6,913
009603,11001009603,-76.94790,38.89184,60,3289,45,24,5,35
009604,11001009604,-76.95830,38.89340,50,1892,17,6,8,36
009700,11001009700,-76.98976,38.83410,30,3132,23,7,8,18
009801,11001009801,-76.99638,38.83384,28,1547,10,6,0,9
009802,11001009802,-76.99656,38.83074,17,1677,4,1,2,7
007807,11001007807,-76.92105,38.89858,30,2083,11,13,0,37
007808,11001007808,-76.91943,38.89277,48,3542,48,13,0,57
008701,11001008701,-77.00628,38.91411,414,1922,19,54,3,53
008702,11001008702,-77.00147,38.91488,242,1319,19,22,3,40
008802,11001008802,-76.98665,38.90394,357,3675,65,50,10,60
008803,11001008803,-76.99134,38.91044,749,1186,31,83,11,61
009803,11001009803,-77.00409,38.83588,48,2719,21,13,4,9
009804,11001009804,-76.99784,38.83967,63,2401,18,8,2,24
009807,11001009807,-77.01176,38.82922,96,2985,28,16,0,15
009810,11001009810,-77.00458,38.82721,23,2479,15,9,0,9
010500,11001010500,-77.01336,38.88185,1181,1951,49,274,12,77
010600,11001010600,-77.00333,38.90331,1708,2062,59,164,3,67
010700,11001010700,-77.04198,38.90401,1499,101,14,249,7,34
010800,11001010800,-77.04461,38.89736,5294,412,34,858,30,70
010900,11001010900,-77.02490,38.81163,92,3116,28,24,0,20
011000,11001011000,-77.01805,38.86885,1716,1802,78,180,6,84
011100,11001011100,-76.96650,38.91612,387,4302,82,34,4,205
009301,11001009301,-76.98639,38.93074,1063,1990,46,95,1,80
007809,11001007809,-76.93220,38.90155,87,2808,28,10,0,43
007901,11001007901,-76.98044,38.89652,438,3337,48,45,3,55
007903,11001007903,-76.97434,38.89639,169,1558,20,13,1,44
008001,11001008001,-76.98666,38.89620,1384,1298,31,91,8,69
008002,11001008002,-76.98277,38.89155,1733,1201,20,105,6,58
008100,11001008100,-76.99253,38.89320,2349,455,30,122,2,49
008200,11001008200,-77.00063,38.89184,2585,171,27,166,3,47
008301,11001008301,-77.00080,38.89705,1789,404,12,98,2,31
008302,11001008302,-76.99665,38.89631,1614,510,24,102,4,21
008402,11001008402,-76.99108,38.89861,1215,880,28,71,10,26
008410,11001008410,-76.99112,38.90156,470,974,14,27,4,26
009400,11001009400,-76.97424,38.93678,450,3561,73,62,1,163
009501,11001009501,-77.00293,38.94183,2270,2926,85,166,25,563
009503,11001009503,-76.98453,38.94345,505,2385,54,63,4,34
009504,11001009504,-76.99310,38.94094,695,2270,37,64,5,55
009505,11001009505,-77.00521,38.96192,178,2323,22,39,10,137
009507,11001009507,-76.99777,38.95851,70,1326,21,5,4,100
009508,11001009508,-76.99847,38.95388,284,2859,35,41,2,130
009509,11001009509,-76.99500,38.94922,186,2640,12,47,3,106
009601,11001009601,-76.94444,38.91021,38,2383,10,7,7,27
009602,11001009602,-76.95343,38.90134,56,3224,35,6,0,26
